epoch,kl_model,train_nll,train_loss,val_nll,val_loss,val_accuracy
1,2587.40771484375,2983.19189453125,3178.08154296875,21477.609375,24072.43359375,-0.2015092372894287
2,2011.568603515625,2112.870361328125,2257.448486328125,21477.609375,23491.662109375,-0.2015092372894287
3,1723.772705078125,1660.805908203125,1785.07080078125,4776.6201171875,6496.96875,0.7327843904495239
4,1511.3885498046875,1267.341064453125,1377.2066650390625,6128.73828125,7651.9365234375,0.6571435928344727
5,1364.950927734375,979.5849609375,1076.4947509765625,4000.2470703125,5365.53125,0.7762165069580078
6,1220.0950927734375,698.5712890625,786.9178466796875,2827.87548828125,4039.6923828125,0.8418018221855164
7,1067.496337890625,595.0574951171875,674.4417724609375,2743.19677734375,3840.60595703125,0.8465389609336853
8,1002.027099609375,642.5191650390625,712.3372192382812,2230.1279296875,3229.43017578125,0.8752412796020508
9,896.8837280273438,588.603759765625,654.521240234375,2232.277099609375,3125.544189453125,0.8751210570335388
10,852.692626953125,524.1175537109375,584.82958984375,1915.555908203125,2741.779541015625,0.8928391933441162
11,795.4061889648438,536.3831787109375,593.920166015625,1827.2047119140625,2626.26953125,0.8977817296981812
12,768.7606201171875,508.8548583984375,563.6032104492188,1743.846435546875,2504.48779296875,0.9024450182914734
13,725.3343505859375,377.39984130859375,430.46160888671875,1369.600830078125,2087.71826171875,0.9233812093734741
14,721.55908203125,361.9611511230469,414.3691101074219,1271.818603515625,2023.4141845703125,0.9288514256477356
15,692.8477783203125,356.5463562011719,408.4210510253906,1310.447509765625,2004.34619140625,0.926690399646759
16,674.8881225585938,302.8804931640625,350.7020263671875,1184.509033203125,1875.25244140625,0.933735728263855
17,654.0252685546875,318.3760070800781,364.67303466796875,1176.565185546875,1834.5745849609375,0.9341800808906555
18,641.15283203125,303.51019287109375,348.94683837890625,1210.16650390625,1861.4251708984375,0.9323003888130188
19,643.2516479492188,272.3322448730469,317.33941650390625,1140.4295654296875,1783.227294921875,0.9362016320228577
20,628.9524536132812,285.6575012207031,329.13592529296875,1195.58203125,1814.9892578125,0.9331162571907043
21,586.4652709960938,287.6284484863281,331.1316833496094,1210.9630126953125,1805.88916015625,0.9322558045387268
22,590.7360229492188,299.236572265625,342.32720947265625,1141.9403076171875,1738.173828125,0.9361171126365662
23,577.0097045898438,258.87103271484375,300.77813720703125,1132.16162109375,1718.494873046875,0.9366641640663147
24,571.2844848632812,261.1861572265625,303.348876953125,1142.9249267578125,1729.62158203125,0.9360620379447937
25,579.193359375,283.0845642089844,324.7724914550781,1210.44189453125,1767.19189453125,0.932284951210022
26,583.4971923828125,281.68218994140625,322.0738830566406,1151.207763671875,1704.9755859375,0.9355986714363098
27,554.2449951171875,267.84942626953125,306.3981018066406,1117.415771484375,1666.6123046875,0.9374890923500061
28,548.9598388671875,304.16943359375,344.1256408691406,1203.1314697265625,1757.536376953125,0.9326938986778259
29,569.156005859375,264.43170166015625,303.29803466796875,1106.014892578125,1671.98291015625,0.9381268620491028
30,541.0737915039062,269.79876708984375,308.1602478027344,1122.764404296875,1666.641357421875,0.9371898770332336
31,547.7777709960938,245.58547973632812,284.98858642578125,1056.337646484375,1594.4765625,0.9409059286117554
32,562.9263916015625,241.84600830078125,281.51019287109375,1069.6090087890625,1634.006103515625,0.9401634931564331
