epoch,kl_model,train_nll,train_loss,val_nll,val_loss,val_accuracy
1,83.35165405273438,2180.6923828125,2343.945556640625,21477.609375,21560.9609375,-0.2015092372894287
2,138.33042907714844,1379.0618896484375,1509.804443359375,15038.24609375,15176.576171875,0.15872424840927124
3,386.504150390625,1289.593994140625,1408.0723876953125,6301.087890625,6687.591796875,0.6475019454956055
4,712.2085571289062,976.9898071289062,1090.03271484375,2495.79833984375,3208.0068359375,0.8603790402412415
5,802.587890625,868.7288208007812,974.78076171875,2690.820068359375,3493.407958984375,0.8494690656661987
6,788.230224609375,639.697998046875,736.320556640625,2661.68359375,3449.913818359375,0.8510990142822266
7,755.6632690429688,541.3272705078125,628.540283203125,2401.25927734375,3156.922607421875,0.8656677603721619
8,763.16162109375,486.1017761230469,566.2691650390625,1671.016845703125,2434.178466796875,0.9065192937850952
9,778.71435546875,449.26019287109375,524.3119506835938,1586.3157958984375,2365.0302734375,0.9112576842308044
10,784.9327392578125,384.17950439453125,455.94451904296875,1278.682373046875,2063.615234375,0.9284673929214478
11,772.312744140625,333.97625732421875,402.3118896484375,1149.196533203125,1921.50927734375,0.935711145401001
12,756.015380859375,311.6763610839844,376.59942626953125,1039.126220703125,1795.1416015625,0.941868782043457
13,732.074951171875,317.51470947265625,379.6986083984375,1017.9495849609375,1750.0245361328125,0.9430534243583679
14,715.9983520507812,273.8678894042969,333.9363098144531,957.1966552734375,1673.195068359375,0.9464521408081055
15,709.05517578125,275.8863220214844,334.17010498046875,1054.9761962890625,1764.0313720703125,0.9409821033477783
16,702.2464599609375,252.9918975830078,309.58380126953125,995.3035888671875,1697.550048828125,0.9443203210830688
17,692.2716064453125,296.2752685546875,351.0706481933594,970.8823852539062,1663.154052734375,0.9456865191459656
18,672.9725341796875,276.66680908203125,329.9690856933594,937.2529907226562,1610.2255859375,0.9475678205490112
19,661.180419921875,232.74795532226562,284.4764709472656,939.8885498046875,1601.0689697265625,0.9474203586578369
